application,review,rating,clean_review,sentiment
Halodoc,Bagus dan menolong,4,bagus menolong,positive
Alodokter,"Mohon dimudahkan untuk direct chat nya, agar kami bisa memahami secara detail tentang kondisi apa yg kami alami ,terimaksih para dokter dan nakes, sukses selalu",3,mohon dimudahkan direct chat nya memahami detail kondisi yg alami terimaksih dokter nakes sukses,negative
Alodokter,Gimana cara nya agar haid segera berhnti soal nya sdah tr lalu lma,2,gimana nya haid berhnti nya sdah tr lma,negative
Halodoc,Kami di merauke kalau beli obat antibiotik pake resep digital tidak dikasi obat. Mohon solusinya.,3,merauke beli obat antibiotik pake resep digital dikasi obat mohon solusinya,negative
Alodokter,Ok mantap..... Ibu/Bpk dokter tingkatkan pelayanannya alodokter agar masyarakat sehat semua.,4,ok mantap ibubpk dokter tingkatkan pelayanannya alodokter masyarakat sehat,positive
Alodokter,Jadi tau apa yang harus di lakukan terlebih dahulu,3,tau lakukan,negative
Alodokter,apk pembodohan ini apk mafia uda bayar abis 200 malah di cuekin,1,apk pembodohan apk mafia uda bayar abis 200 cuekin,negative
Alodokter,"Maaf mau nanya,ini aplikasi ada kendala apa yaaa,kok mau daftar aja susah banget",1,maaf nanyaini aplikasi kendala yaaakok daftar aja susah banget,negative
Alodokter,matul,4,matul,positive
Alodokter,Aplikasinya sudah sangat bagus. Dalam merespon pertanyaan sudah bagus. Namun untuk keamanannya tolong ditingkatkan. Karena saya sering mendapatkan telepon penipuan mengataskan namakan alodokter. Ini menunjukan data pribadi kita bocor. Mohon perhatiannya Terimakasih,3,aplikasinya bagus merespon bagus keamanannya tolong ditingkatkan telepon penipuan mengataskan namakan alodokter menunjukan data pribadi bocor mohon perhatiannya terimakasih,negative
Alodokter,baik dokter ramah,2,dokter ramah,negative
Alodokter,💖🙏,4,,positive
Halodoc,Bisa berkeluh kesah dengan psikolog disaat kapan pun dimana pun...plong hati 😊,4,berkeluh kesah psikolog disaat dimana punplong hati,positive
Halodoc,Ok,3,ok,negative
Alodokter,"Alhamdulillah bgus aplikasinya cukup membantu.. namun,mf... menurut saya pribadi masih ada kekurangan nya yaitu.. saat pertanyaan apa ini luka lama atau masih baru,, jawabannya otomatis ini masih kurang bagus. Karena tidak semua luka sudah sampai 3 Minggu atau lebih. Bisa jadi luka kemarin atau kemarin dulu. Jadi tolong di hapus sj jawaban otomatis nya. Trimaksih sebelumnya...🙏🙏👍☺️",3,alhamdulillah bgus aplikasinya membantu namunmf pribadi kekurangan nya luka jawabannya otomatis bagus luka 3 minggu luka kemarin kemarin tolong hapus sj otomatis nya trimaksih,negative
Halodoc,"Voucher nya ini kenapa ya kadang2 bisa di pake kadang2 gk,di coba sekali bisa di pake voucher nya di relog malah gk bisa lagi,aneh",3,voucher nya ya kadang2 pake kadang2 gkdi coba pake voucher nya relog gk lagianeh,negative
Alodokter,"baik.sopan,teliti,cepat.akurat",5,baiksopanteliticepatakurat,positive
Alodokter,Sangad menbantu,3,sangad menbantu,negative
Halodoc,"pelayanannya bagus, konsul online nya juga cepat dgn sangat jelas dokter dan bidan sangat sabar menjelaskan walaupun lewat chat",5,pelayanannya bagus konsul online nya cepat dgn dokter bidan sabar chat,positive
Halodoc,good,2,good,negative
Halodoc,sulit sekali melakukan pembayaran,3,sulit pembayaran,negative
Alodokter,"Saya dapet telpon dari call center yg mengatasnamakan alodokter dan itu sedikit mengganggu, masa sehari bisa nyampe 3-4 kali menghubungi saya. Dan ketika saya keberatan untuk memberikan no. Rek. Bank saya. Pihak call center tersebut tetap memaksa untuk memberikan no. Rek yg sya pakai dgn alasan ingin mengecek apa rekening sya aktif/tidak. Kajadian seperti ini sedikit mempengaruhi tingkat kepercayaan sya. Mohon ditindak lanjut. Takutnya ada pihak yg tdk bertanggung jawab yg memanfaatkan ini.",2,dapet telpon call center yg mengatasnamakan alodokter mengganggu sehari nyampe 34 kali menghubungi keberatan no rek bank call center memaksa no rek yg sya pakai dgn alasan mengecek rekening sya aktiftidak kajadian mempengaruhi tingkat kepercayaan sya mohon ditindak takutnya yg tdk bertanggung yg memanfaatkan,negative
Alodokter,Beberapa dokternya balasnya kayak template. Mungkin copy paste template text yg keyword gejala dan kadang gak nyambung sama sakit yang sedang dibahas.,3,dokternya balasnya kayak template copy paste template text yg keyword gejala kadang gak nyambung sakit dibahas,negative
Halodoc,"Dr. Wahju Krisnoto, spesialis mata 👍",5,dr wahju krisnoto spesialis mata,positive
Halodoc,"aplikasi yg sgt membantu ketika obat yg dicari ga ada/kosong di apotek dekat rumah, ketika kondisi lg drop dan ga ada yg disuruh beli, ketika merasa harus cek dokter tp keadaan ga memungkinkan pergi. top lah pokoknya",5,aplikasi yg sgt membantu obat yg dicari ga adakosong apotek rumah kondisi lg drop ga yg disuruh beli cek dokter tp ga pergi top pokoknya,positive
Halodoc,"Aku kira gratis, setelah masuk dan mau chat denga dokter nya ternyata harus bayar, padahal saya mau konsultasi sama dokternya untuk penyakit yang saya alami, tapi tidak jadi karena harus bayar, hadeh",2,gratis masuk chat denga dokter nya bayar konsultasi dokternya penyakit alami bayar hadeh,negative
Halodoc,Saya sangat kecewa sama aplikasi halodoc karena tidak ada fitur pembayaran COD padahal saya sudah sangat senang menemukan produk yang ori untuk update selanjutnya tolong ada fitur COD trimakasih 🙏🙏,2,kecewa aplikasi halodoc fitur pembayaran cod senang menemukan produk ori update tolong fitur cod trimakasih,negative
Halodoc,Ga niat membantu . Cuma nanya ajh bayar 25.000 Mending gw brobat skalian,2,ga niat membantu nanya ajh bayar 25000 mending gw brobat skalian,negative
Alodokter,Saya merasa tertatik setela mmbaca tanya jawab dg para dokter diaplikasi ini. Sehingga saya segera dounload.,2,tertatik setela mmbaca dg dokter diaplikasi dounload,negative
Alodokter,"Penjelasan sangat bagus, sangat bermanfaat",4,penjelasan bagus bermanfaat,positive
Alodokter,baikkk,5,baikkk,positive
Halodoc,Masa saya pesen obat di batalin secara berpihak...mana udh saya bayar uangnya blm kembali...pas saya pesen ualng udh saya bayar malah eror apk nya ....,2,pesen obat batalin berpihakmana udh bayar uangnya blm kembalipas pesen ualng udh bayar eror apk nya,negative
Alodokter,bisa memberikan solusi secara cepat,5,solusi cepat,positive
Halodoc,Low respond,3,low respond,negative
Alodokter,Saya baru tadi dapet telpon dari alodokter Dia minta nomor rek sama nama E tau2 rekening saya langsung terpotonng tanpa persetujuan dengan ini saya ingin mengajukan pembatalan,2,dapet telpon alodokter nomor rek nama e tau2 rekening langsung terpotonng persetujuan mengajukan pembatalan,negative
Halodoc,Good ...sangat membantu,4,good membantu,positive
Halodoc,"Sudah beberapa kali pesan di halodoc. Saya kasih bintang 4 dulu yaa.. karena setiap saya order toko yang saya pesan jauh sekali, harusnya ikutin wilayah terdekat pada saat ada pesanan.",4,kali pesan halodoc kasih bintang 4 yaa order toko pesan ikutin wilayah terdekat pesanan,positive
Halodoc,sangat membantu di situasi yg sangat penting.. terimakasih halodoc..semakin bisa berikan pelayanan yg memuaskan.,5,membantu situasi yg terimakasih halodocsemakin pelayanan yg memuaskan,positive
Halodoc,Mengapa Denah lokasi dan keterangan lokasi berbeda,1,denah lokasi keterangan lokasi berbeda,negative
Alodokter,Assalamualaikum dokter . maaf mau tanya . kemarin minggu sy hbs kecelekaan . bagian bawah dada sy yg kiri kan sakit . sdh sy obati ulesi THOMOGEL sm minum obat asamfenamat obat lain . di bawah dada kiri . tidak memar tidak luka luar sama sekali . tp ini dalamny sakit bangeet Dok . dikasih apa ya dokter sy berjuang sendiri dokter kasihn anak2 klo sakit sperti ini sy . solosinya gmn dokter trmksh,5,assalamualaikum dokter maaf kemarin minggu sy hbs kecelekaan dada sy yg kiri sakit sdh sy obati ulesi thomogel sm minum obat asamfenamat obat dada kiri memar luka tp dalamny sakit bangeet dok dikasih ya dokter sy berjuang dokter kasihn anak2 klo sakit sperti sy solosinya gmn dokter trmksh,positive
Alodokter,Terima kasih,2,terima kasih,negative
Alodokter,"Sudah bayar tapi dokternya gak merespon,gak ada solusi.terus bagaimana?? Kecewa si,soalnya juga sedang online dokternya.",3,bayar dokternya gak merespongak solusiterus kecewa sisoalnya online dokternya,negative
Halodoc,"konsul pertama sama dr frieda dokternya informatif baik cantik lagi masha allah smoga cocok, fast respon pula jarang"" dokter bilang kalo ada yg mau ditanya lagi gpp ya.. beda banget sama pengalaman dokter yg lain",5,konsul dr frieda dokternya informatif cantik masha allah smoga cocok fast respon jarang dokter bilang kalo yg gpp ya beda banget pengalaman dokter yg,positive
Halodoc,"buruk sekali bagian Customer Service melayani keluhan pelanggan, sudah 3x lapor tidak ada penyelesaiannya, sudah uang hilang buruknya pelayanaan dari halodoc bikin kesal ID ticket 3572004, 3567953, 3567899 silahkan di cek kalau memang disini kalian bisa cek.",1,buruk customer service melayani keluhan pelanggan 3x lapor penyelesaiannya uang hilang buruknya pelayanaan halodoc bikin kesal id ticket 3572004 3567953 3567899 silahkan cek cek,negative
Alodokter,Habis bayar trus app error jadi uang hilang. Hati2,1,habis bayar trus app error uang hilang hati2,negative
Alodokter,Saya mau berhenti dari aplikasi alodkter bagimana?,2,berhenti aplikasi alodkter bagimana,negative
Alodokter,"Respon dokter sangat lama, padahal sudah dibayar... Disuruh nunggu 1 menit tapi malah beberapa menit kemudian ga ada respon",1,respon dokter dibayar disuruh nunggu 1 menit menit ga respon,negative
Alodokter,sangat membantu utk memudahkan konsultasi dengan dokter dimanapun & kapanpun,5,membantu utk memudahkan konsultasi dokter dimanapun,positive
Halodoc,Alhamdulilah dengan adanya halodoc benar-benar sangat membantu bangett apalagi saya ada keluhan dengan jerawat Sekarang jadi mendingan bangett😭 thank you dokter spkk halodoc btw aku Konsul ke dokter Ade Indrayani beliau sangat ramah dan baik .,4,alhamdulilah halodoc benarbenar membantu bangett keluhan jerawat mendingan bangett thank you dokter spkk halodoc btw konsul dokter ade indrayani beliau ramah,positive
Halodoc,"siang Dok,ni sy mau konsultasi dgn Dok,ibu sy telat haid,ada obat buat mencarkan kembali haid nya ga ya,Trims",2,siang dokni sy konsultasi dgn dokibu sy telat haidada obat mencarkan haid nya ga yatrims,negative
Alodokter,sangan ramah dan enak di ajak konsul,5,sangan ramah enak ajak konsul,positive
Halodoc,Urgent butuh obat malah cari apotek 21km dari lokasi tempat tinggal. Padahal saya di Surabaya :))),2,urgent butuh obat cari apotek 21km lokasi tinggal surabaya,negative
Halodoc,Untuk order obat disini agak mengecewakan karena prosesnya lama dan dikirim dari apotek yang terlalu jauh dari domisili. Seharusnya dicarikan apotek yg terdekat.,3,order obat mengecewakan prosesnya dikirim apotek domisili dicarikan apotek yg terdekat,negative
Halodoc,sangat rekomend untuk konsultasi dan pengobatan ketika dimasa libur,5,rekomend konsultasi pengobatan dimasa libur,positive
Alodokter,Sering kali macet,2,kali macet,negative
Halodoc,Bikin hp ngelag anjir,1,bikin hp ngelag anjir,negative
Halodoc,Bagus sangat membantu dokternya jga ramah dan jelas saat menjelaskan resep,5,bagus membantu dokternya jga ramah resep,positive
Halodoc,"Tadi saya d tlf d minta data diri dari ktp,trus d minta no rek untuk d potong stiap bulannya,apakah itu bener,",2,d tlf d data ktptrus d no rek d potong stiap bulannyaapakah bener,negative
Alodokter,Mau sembuh brobat kalo mau sakit gk usah berobat...keren dokternya...hilang sia2 45 rebu,1,sembuh brobat kalo sakit gk berobatkeren dokternyahilang sia2 45 rebu,negative
Alodokter,"Udh bayar 45 rbu dokter tdk ada respon sama sekali, dan uang hangus, saran yg punya akun kalo dokter gini mdnding hapus ajlah dokterny kasian yg kena",1,udh bayar 45 rbu dokter tdk respon uang hangus saran yg akun kalo dokter gini mdnding hapus ajlah dokterny kasian yg kena,negative
Alodokter,"Pelayanan nya baik, harga terjangkau dan pelayanan nya cepat. Cuma tempat penebusan obatnya gak ada di kota ku, jadi masih harus keluar rumah 🥲",5,pelayanan nya harga terjangkau pelayanan nya cepat penebusan obatnya gak kota ku rumah,positive
Halodoc,"Perkara mo beli ns 25ml 2 biji aja ribet banget yawla padahal buat nebul saya sendiri cito. Mana apotek yg dihubungkan lokasinya jauh dan stok tidak ada. Apa tidak ada update stok obat di tiap apotek terdekat, supaya pilihan apotek dan ketersediaan obatnya sesuai? Ini malah saya disuruh mencancel orderan atau mentransfer sejumlah uang tambahan ke apotek tsb untuk membeli ns 100ml (karena di apotek tsb tidak ada stok 25ml). Ya karena cito, mau tidak mau. Tolong diupgrade dong tim halodoc. Btk",3,perkara mo beli ns 25ml 2 biji aja ribet banget yawla nebul cito apotek yg dihubungkan lokasinya stok update stok obat apotek terdekat pilihan apotek ketersediaan obatnya sesuai disuruh mencancel orderan mentransfer uang tambahan apotek tsb membeli ns 100ml apotek tsb stok 25ml ya cito tolong diupgrade tim halodoc btk,negative
Halodoc,"Kemarin saya dpt tlfon dri pihak halodoc, trus kemudian minta nmr rekening bank , maaf apkh itu bnr/tdk,. Blm saya kasih sih no rek nya, mohon maaf takut nya saldo saya berkurang tiap bulan,..mohon maaf skali????",2,kemarin dpt tlfon dri halodoc trus nmr rekening bank maaf apkh bnrtdk blm kasih sih no rek nya mohon maaf takut nya saldo berkurang bulanmohon maaf skali,negative
Alodokter,Sangat membantu dikala kita tidak bisa pergi ke dokter karena sesuatu dan lain hal.,4,membantu dikala pergi dokter,positive
Halodoc,Kok nga bs pake ovo bayarnya..😒😒😒,3,nga bs pake ovo bayarnya,negative
Alodokter,"udah ngisi link mau berobat isoman tapi ga ada konfirmasi lagi udah 24jam, akhirnya pindah ke layanan telemedisin tetangga laebih cepat satset kerjanya.",2,udah ngisi link berobat isoman ga konfirmasi udah 24jam pindah layanan telemedisin tetangga laebih cepat satset kerjanya,negative
Halodoc,"Untuk halodoc kenapa pengiriman obat harus menggunakan ekspedisi yang tidak bermutu kualitasnya seperti anteraja, padahal ekspedisi lain seperti JNT itu selalu ready, kita gapapa bayar lebih mahal asalkan barang sampai dengan cepat",3,halodoc pengiriman obat ekspedisi bermutu kualitasnya anteraja ekspedisi jnt ready gapapa bayar mahal barang cepat,negative
Alodokter,good,5,good,positive
Halodoc,Minta diperbaharui apl tapi gak mau kebuka,2,diperbaharui apl gak kebuka,negative
Halodoc,Dokter tdk tersedia tp pembayarannya lama di kembalikannya...,4,dokter tdk tersedia tp pembayarannya kembalikannya,positive
Alodokter,semoga bermanfaat,5,semoga bermanfaat,positive
Halodoc,"Aplikasinya bagus, mudah digunakan, banyak pilihan obat yang bisa dibeli, pengiriman cepat, dan deskripsi nya lengkap. Untuk kedepannya bisa tambahkan pembayaran COD, tambahkan opsi untuk membuat alamat penerima secara manual, dan perluas lagi jangkauan layanannya seperti dokter yang bisa dipanggil ke rumah karena mungkin beberapa orang tidak punya waktu atau ada hal lain yang membuat nya tidak bisa ke Fasilitas Kesehatan. Itu saja untuk saat ini👍👍👍👍",4,aplikasinya bagus mudah pilihan obat dibeli pengiriman cepat deskripsi nya lengkap kedepannya tambahkan pembayaran cod tambahkan opsi alamat penerima manual perluas jangkauan layanannya dokter dipanggil rumah orang nya fasilitas kesehatan,positive
Halodoc,mantap,5,mantap,positive
Halodoc,"obat ngga dikirim udah semingguan, dibatalin ngga bjsa cs halodoc ngga bs dihubungi. Buset bgt",2,obat ngga dikirim udah semingguan dibatalin ngga bjsa cs halodoc ngga bs dihubungi buset bgt,negative
Alodokter,"aplikasi mantap sangat membantu cepat dalam mendapat informasi mengenai keluhan2 kesehatan,lancar,gercep....sukses Alodokter semoga bisa menjaga aplikasi menjadi lebih sempurna, terimakasih.",5,aplikasi mantap membantu cepat informasi keluhan2 kesehatanlancargercepsukses alodokter semoga menjaga aplikasi sempurna terimakasih,positive
Alodokter,good,4,good,positive
Halodoc,"helpfull kalo tiba2 butuh bantuan medis, terutama di hari raya / libur.",5,helpfull kalo tiba2 butuh bantuan medis raya libur,positive
Alodokter,saya kira gratis. mahal banget konsultasinya ya...,1,gratis mahal banget konsultasinya ya,negative
Halodoc,"Sangat membantu, dan cepat sekali menyambungkan ke Dokternya. Terima kasih apk. Halodoc",4,membantu cepat menyambungkan dokternya terima kasih apk halodoc,positive
Alodokter,"smoga kedepan minimal bisa sebaik bpjs, kalau bisa sebaik asuransi yg lain",2,smoga kedepan minimal bpjs asuransi yg,negative
Alodokter,Kenapa sekarang berbayarr😭😭😭😭😭padahal dulu ada fitur gratis,1,berbayarrpadahal fitur gratis,negative
Alodokter,Konsultasi doank bayar auto uninstall ga manfaat ga membantu,1,konsultasi doank bayar auto uninstall ga manfaat ga membantu,negative
Halodoc,konsultatif n respon yang cepat,5,konsultatif n respon cepat,positive
Alodokter,Cukup membantu,4,membantu,positive
Alodokter,bagus,5,bagus,positive
Alodokter,Dokter nya kasih tanggapan ny lama,1,dokter nya kasih tanggapan ny,negative
Alodokter,Tarif chat nya kemahalan 25.000...itupun korting tadi nya 50.000...dulu 5000 ..,2,tarif chat nya kemahalan 25000itupun korting nya 50000dulu 5000,negative
Alodokter,"Yang ditanya lain, yang dijawab lain, seperti dijawab BOT. foto aja yg dokter, dokternya tidur, kita konsul sama BOT terus bayar. Lucu 🤣🤣🤣",1,bot foto aja yg dokter dokternya tidur konsul bot bayar lucu,negative
Halodoc,"Parah sih nih aplikasi psen obat urgen harus nya toko obat ny nyari yg deket sm lokasi pesanan biar d krim pake grab atau gojek bukan pake expedisi harus nunggu lama,keburu parah yg sakit ,tolong d perbaiki lagi",1,parah sih nih aplikasi psen obat urgen nya toko obat ny nyari yg deket sm lokasi pesanan biar d krim pake grab gojek pake expedisi nunggu lamakeburu parah yg sakit tolong d perbaiki,negative
Alodokter,puas baik lg dokternya,4,puas lg dokternya,positive
Alodokter,bagus,5,bagus,positive
Halodoc,paket sampe saat ini ngga ada blm ke terima,1,paket sampe ngga blm terima,negative
Halodoc,Go,3,go,negative
Halodoc,"Saya sebagai driver borzo dirugikan oleh halodoc, sudah jemput obat di apotek dicancel sepihak karena stok habis, KALAU STOK HABIS KENAPA MASIH DI JUAL DI ETALASE APLIKASI HALODOC GOBLOKK, SAYA KERJA PAKE BENSIN JANGAN ASAL CANCEL, TOLOL !!!",1,driver borzo dirugikan halodoc jemput obat apotek dicancel stok habis stok habis jual etalase aplikasi halodoc goblokk kerja pake bensin cancel tolol,negative
Halodoc,g bisa d gunain... d klik di manapun ttp g bisa... ini knp y?,2,g d gunain d klik manapun ttp g knp y,negative
Alodokter,pelayanan dr. sangat buruk.. biasanya baik cuma untuk hari ini sangt mengecewakan. pejelasannya tidak sesuai dengan pertanyaan saya,1,pelayanan dr buruk sangt mengecewakan pejelasannya sesuai,negative
Alodokter,sangat puas dengan semua jawaban dokter,5,puas dokter,positive
Alodokter,bermanfaat sekali,5,bermanfaat,positive
Alodokter,dokternya saangatt baik,1,dokternya saangatt,negative
Alodokter,Aplikasi komersil banget. Mau chat aja berbayar. Auto uninstall. Kopet,1,aplikasi komersil banget chat aja berbayar auto uninstall kopet,negative
Alodokter,Apa nikmat nya,3,nikmat nya,negative
Alodokter,Cukuo membantu,4,cukuo membantu,positive
Alodokter,nggih,4,nggih,positive
Halodoc,Halodoc sangat membantu kami yang jauh dari dokter spesialis,5,halodoc membantu dokter spesialis,positive
Alodokter,Penjelasan dokter sgt membantu kami untuk lakukan tindakan pengobatan dan perawatan yg tepat.,2,penjelasan dokter sgt membantu lakukan tindakan pengobatan perawatan yg,negative
Alodokter,Bagaimana cara menghentikan langganan?,2,menghentikan langganan,negative
Alodokter,Cukup memuaskan,3,memuaskan,negative
Alodokter,Trimaskh saya sangt besyukur bisa ada aplikasi ini yg gratis Karna sangt berguna untuk orang yang tidak berpunya seperti saya .,4,trimaskh sangt besyukur aplikasi yg gratis karna sangt berguna orang berpunya,positive
Halodoc,Bagus sih. Dokternya berpengalaman semua cuma masih bingung gimana caranya top up saldo halodocnya udah nyari nyari di semua menu tapi gak ketemu,4,bagus sih dokternya berpengalaman bingung gimana top up saldo halodocnya udah nyari nyari menu gak ketemu,positive
Alodokter,"Pengalaman saya selama ini Dokter pakai es lumayan bagus,,tapi hanya untuk sementara,,,",4,pengalaman dokter pakai es lumayan bagustapi,positive
Halodoc,"Aplikasi ini mahal harganya, semua serba bayar. Kesehatan susah di dapat, jadi kalau ga punya uang ga bisa beli obat😒",2,aplikasi mahal harganya serba bayar kesehatan susah ga uang ga beli obat,negative
Halodoc,"Dokter pada halodoc ramah, dan caranya memberi informasi/penanganan mengenai keluhan pasien dapat diterima dengan jelas dan baik",4,dokter halodoc ramah informasipenanganan keluhan pasien diterima,positive
Alodokter,terimakasih,4,terimakasih,positive
Alodokter,terima kasih dokter penjelasan detail,5,terima kasih dokter penjelasan detail,positive
Alodokter,Aplikasi ngga guna udah buat janji jauh2 datang ke rumah sakit tp di tolak katanya janji lewat alodok ngga bisa buat janji,1,aplikasi ngga udah janji jauh2 rumah sakit tp tolak janji alodok ngga janji,negative
Halodoc,kenapa saya tidak bisa menambahkan saldo y?di aplikasi tidak tertera dompet saya,3,saldo ydi aplikasi tertera dompet,negative
Alodokter,Fast respon dan pelayanannya yang ramah 🙏❤️,5,fast respon pelayanannya ramah,positive
Alodokter,konsultasi awal dgn dokter seperti chat dgn system,4,konsultasi dgn dokter chat dgn system,positive
Halodoc,Ini kalo chat apa juga harus bayar,3,kalo chat bayar,negative
Alodokter,"penjelasannya jelas, dokternya ramah",5,penjelasannya dokternya ramah,positive
Alodokter,alhamdulillah saya sangat terbantu dengan konsultasi dengan dokter2 di aplikasi ini,4,alhamdulillah terbantu konsultasi dokter2 aplikasi,positive
Alodokter,responnya lambat,3,responnya lambat,negative
Alodokter,"Customer service ga pernah bls chat dan telp ga aktif, tutup aja sekalian",1,customer service ga bls chat telp ga aktif tutup aja,negative
Halodoc,Ga tau knp aplikasi ini sering banget ngelag. Padahal udah coba uninstall banyak app di hp tetep sama. Bahkan aplikasi yg berat pun di hp aku masih jalan tapi halodoc ga😂,2,ga tau knp aplikasi banget ngelag udah coba uninstall app hp tetep aplikasi yg berat hp jalan halodoc ga,negative
Halodoc,terbaik. kalo mau konsultasi bisa pilih dokternya sesuai keinginan dan kebutuhan.,5,terbaik kalo konsultasi pilih dokternya sesuai kebutuhan,positive
Alodokter,"Saya kepencet tomboll jwbn ya, dan tidak bisa chat utk beritahu dokternya kalau salah pencet",1,kepencet tomboll jwbn ya chat utk beritahu dokternya salah pencet,negative
Alodokter,"Membantu,cepat,dan enak buat konstultasi",4,membantucepatdan enak konstultasi,positive
Halodoc,"dokternya ramah, dan standby jam berapaa pun",4,dokternya ramah standby jam berapaa,positive
Alodokter,bermanfaat,5,bermanfaat,positive
Alodokter,semoga bermanfaat,5,semoga bermanfaat,positive
Alodokter,bagus,2,bagus,negative
Alodokter,bug terus tiap mau buka aplikasi loading lama!,2,bug buka aplikasi loading,negative
Alodokter,Saya tiap sakit konsul dulu lewat alodok tapi tolong dok upgrade tambahin fitur bisa kirim vidiooo,4,sakit konsul alodok tolong dok upgrade tambahin fitur kirim vidiooo,positive
Alodokter,Sy Beli Obatnya Tp kok lama skali krmnya. Krmnya ini bkn antar pulaukan ?,2,sy beli obatnya tp skali krmnya krmnya bkn pulaukan,negative
Halodoc,belum mendapatkan kode verifikasi,2,kode verifikasi,negative
Alodokter,respon sangat baik dan cepatt,5,respon cepatt,positive
Alodokter,"Underrated bayar mahal² gaada jawaban. Kenapa harus lolos verification Google play sih, Sama aja scam ini",1,underrated bayar mahal² gaada lolos verification google play sih aja scam,negative
Alodokter,Membantu,4,membantu,positive
Alodokter,"Perasaan aku gapernah berlangganan ini app tapi dah bbrp tahun ya lupa sekitar 3th ini baru sadar saldoku kepotong otomatis itu gr2 ini app, kok bisa dataku ada disini berlangganan ini app, aku aja baru tau ini app yg kutahu halodok yg pink itu dan itupun gapernah berlangganan cmn download 2hari gangerti caranya. Kesel Rugi banyak tapi gatau harus gmna selain ikhlas pihak alodokter gaakan ganti rugi juga. kesel bgt uangku ilang 40rb perbulan selama bbrp thn 🙃",1,perasaan gapernah berlangganan app dah bbrp ya lupa 3th sadar saldoku kepotong otomatis gr2 app dataku berlangganan app aja tau app yg kutahu halodok yg pink itupun gapernah berlangganan cmn download 2hari gangerti kesel rugi gatau gmna ikhlas alodokter gaakan ganti rugi kesel bgt uangku ilang 40rb perbulan bbrp thn,negative
Alodokter,sangat jelas,5,,positive
Alodokter,"Selamat sore dok, sy punya anak telapak tangan dan telapak kakinya sering basah / berkeringat berlebih , itu tanda penyakit apa ya dok? apakah penyakit ini berbahaya? kalau mau berobat harus ke dokter spesialis apa ?",3,selamat sore dok sy anak telapak tangan telapak kakinya basah berkeringat berlebih tanda penyakit ya dok penyakit berbahaya berobat dokter spesialis,negative
Alodokter,"Saya nyesel harus download aplikasi alodokter waktu semalem. Padahal aku ngga pernah memesan untuk panggilan kurir, yang ada semalem aku download cuman liat ngga sampai 2 menit, langsung aku keluarkan kan lagi,, ehh siang nya tadi ada kurir dari alodokter datang ke alamat saya, padahal saya ngga memanggil suruh ke rumah... Apakah ini aplikasi pemaksaan memeras rakya yang kecil dan kesusahan",3,nyesel download aplikasi alodokter semalem ngga memesan panggilan kurir semalem download cuman liat ngga 2 menit langsung keluarkan ehh siang nya kurir alodokter alamat ngga memanggil suruh rumah aplikasi pemaksaan memeras rakya kesusahan,negative
Alodokter,Pembayarannya ga bsa via dana huft,2,pembayarannya ga bsa via dana huft,negative
Halodoc,"Sedih bgt sering bgt pesenan obat aku ke refunded, padahal udh Konsul :"") dan itu resep langsung dr dokternya tp kenapa di refunded terus, yg lebih parahnya lagi resepnya cm bisa dipake sekali & aku capek gini terus.. kecewa bgt sm pelayanan nya.. tolong diperbaiki 🙏",3,sedih bgt bgt pesenan obat refunded udh konsul resep langsung dr dokternya tp refunded yg parahnya resepnya cm dipake capek gini kecewa bgt sm pelayanan nya tolong diperbaiki,negative
Halodoc,"Terus terang banyak obat-obatan yang tidak lengkap dan rekanan toko obat tidak banyak. Tapi overall semuanya bagus. Perlu diperbanyak rekanan toko obat dan juga dokter-dokternya. Ini yang terpenting, TLG SEDIAKAN LAYANAN LIVE CHAT DAN TLP DENGAN PENGEMUDI JADINYA GAK PERLU SMS DAN TLP YG DIKENAKAN BIAYA LAGI. Terimakasih. *NB : 1. Saat dpt resep obat, obatnya terpisah2. Tidak pada 1 tempat saja. Jd beban biaya jd lbh besar. 2. Hari ini saya dapat Gojek partner yg tidak ramah.",2,terang obatobatan lengkap rekanan toko obat overall bagus diperbanyak rekanan toko obat dokterdokternya terpenting tlg sediakan layanan live chat tlp pengemudi gak sms tlp yg dikenakan biaya terimakasih nb 1 dpt resep obat obatnya terpisah2 1 jd beban biaya jd lbh 2 gojek partner yg ramah,negative
Alodokter,Alhmdulillah bermanfaat dan sgt mmbantu terhadap keluhan penyakit kami.,3,alhmdulillah bermanfaat sgt mmbantu keluhan penyakit,negative
Alodokter,"Skrg tiap mau daftar proteksi aplikasi selalu tutup sendiri. Tdk pernah bisa2. Giliran mau chat umum malah pilihan pembayaran hnya gopay, shoppepay dan ovo. Tdk ada pembayaran transfer. Cape deh...tidak seperti dulu gampang2 saja",2,skrg daftar proteksi aplikasi tutup tdk bisa2 giliran chat pilihan pembayaran hnya gopay shoppepay ovo tdk pembayaran transfer cape dehtidak gampang2,negative
Halodoc,Tolong pihak halodoc cabut asuransi DBD yang kalian janjikan dan selalu memotong saldo ATM saya setiap bulan Saya tidak ikhlas Tolong dihapus Cari uang lagi susah kalian seenaknya sendiri memotong dengan iming-iming Asuransi DBD dan memaksa minta nomor rekening tolong ya segera dicabut dan dihapus data saya,2,tolong halodoc cabut asuransi dbd janjikan memotong saldo atm ikhlas tolong dihapus cari uang susah memotong imingiming asuransi dbd memaksa nomor rekening tolong ya dicabut dihapus data,negative
