application,review,rating
Halodoc,"Harga obat"" disini sangat mahal 5Xlipat dari harga di apotik",1
Halodoc,"Halo saya pernah konsul di halodoc dan kenapa riwayat konsul chat nya itu tidak bisa di hapus ya? Saya ingin riwayat chat nya itu hilang atau bisa di hapus ,apakah bisa? Mohon balasan nya trimakasih",3
Alodokter,"Cuma mau sharing pengalaman aja. Pengalaman prtama pakai aplikasi kirain gratis (pasti kbnyakan org ngira apk ini gratis) tau nya bsok nya lgsng di tlp di mnta data smpe ke no.rek. Dikirain hnya utk mengaktifkn akun sja tp oh trnyta maksa main nyuruh setuju setuju aja. Perbulan nya di potong dong sekitar 95rbuan gtu. Sya kget knp tiba tiba dipotong gitu ya. Udh mh anak kuliahan, rantau, ngekos, uang jajan paspasan. Eh mlah di ptong. Kirim email pembatalan lah baru brhnti di ptong.",2
Halodoc,"Lancar, tidak lag",4
Halodoc,no coment,2
Halodoc,Efisien sekali,5
Alodokter,So far so gooodd,5
Halodoc,"dokter penyakit dalam dr.icha sungguh ramah dan menjelaskan dengan sangat baik dan detail, dukungan dan saran Beliau sangat membantu saya untuk semangat biar sembuh.. makasihh dok..",5
Halodoc,Belum coba kasih 3,3
Alodokter,Bagus,2
Halodoc,"Aplikasi ngentottt ngabisin uang gw aja anjirr, DOKTER NYA GADA YG PEDULI BANGSATTT, dokter nya pada acuh tak acuh",1
Halodoc,"Baru pertama kami periksa melalui halodoc,dr cukup ramah Namun kok nggak diberi resep obat cuma dikasih saran u makanan Terima kasih 🙏🙏",3
Halodoc,"Sudah chat dengan dokter selama 1 jam namun sudah 2 kali tidak ada kejelasan lalu ganti dokter masih tetap tidak ada kejelasan, lebih baik ke rumah sakit. Seandainya konsultasi diperpanjang lebih dari 1 jam mungkin lebih maksimal, karena saya sudah tanya ""BAGAIMANA TINDAKAN DAN OBAT YG HARUS DIKONSUMSI?"" namun semuanya hilang tanpa kejelasan karena terbatasnya waktu, seandainya ada orang sekarat di desa mungkin sudah mati karena rumah sakit jauh dan aplikasi ini tidak bisa diandalkan",1
Halodoc,Paket sehatnya udah gak semurah dulu. Padahal dulu seneng banget pake halodoc karena ada paket sehatnya yg ramah kantong.,2
Halodoc,Oke balasnya lumayan,4
Alodokter,Berbayar tp dokter ga komunikatif. Malah dokternya ngomong panjang tanpa liat dulu foto keadaannya. Buang buang uang,1
Halodoc,Alamat pembeli di Cawang... apoteknya di tebet. ga skalian aja di banten ambil apotek nya... ini obat buat orng sakit bukan camilan sore. jangan main main.,1
Halodoc,Kok nggak bisa dibuka 🤔,2
Alodokter,"Saya kasih bintang 3 dulu, diperbaiki bug terdapat fitur chattingnya Gapapa ngeload chat saat buka room chat, agar mungkin tidak memberatkan server, akan tetapi, tolong langsung ke chtan terakhir karena saya harus scroll lumayan jauh sekali Kondisi sakit scroll itu sangat susah udh scroll mental lagi ke atas, mungkin itu perbaikan nya semoga di dengar oleh developernya dan fast update terimakasih",3
Halodoc,the best pelayanan,5
Alodokter,trima kasih alo dokter,5
Alodokter,good,5
Alodokter,Kurang,3
Alodokter,"Kenapa saya masih ada potongan setiap bulan, padahal saya sudah stop berlanganan.",4
Halodoc,"dokter nya baik, dan cepat merespon",5
Alodokter,bagus,5
Halodoc,"Dulu bagus.. tapi kok. Hari ini ada kejadian aneh. Saya Konsul dengan dokter gizi .. belom waktunya abis .. dokter udh gak respon. Gak jawab samsek pertanyaan saya. Okey lah kalau waktunya abis.. saya nungguin Ampek terbengong"". Trus saya coba dokter ke dua. Sama juga.. awalnya lancar.. eh mendekati waktu habis.. dokter sudah tdk respon. Pdhl saya masih ada waktu sesi. Ini agak gak nyaman sih menurut saya.. tolong solusinya yaaa . Kalau kinerja halodoc SPT ini saya bakal kecewa bngt",3
Halodoc,"Dari kmren sy berusaha login, sll install, uninstall, instal lagi tpi sll gagal login, sy tdk bs login dari awal, knp yah? Tapi hp sy yg satunya lgi berhasil login, knp hp sy yg ini tdk bs login???? Mohon di bantu yah, kl sdh bs login sy akan tambahkan bintangnya mnjadi bintang 5.",2
Halodoc,responnya sangat cepat saya suka .,4
Halodoc,dokternya ramah,4
Halodoc,knp si durasi konsul ny cuma ½ jam. sy konsul byr loh.. blm kelar konsul udh abis wkt itu. jadi ga efektif setengah² komsulnya. ini aplikasi untuk org artenatif berobat lohh.. jngn terlalu di duitin. pd hl udh bgs dokter² ny tp aplikasiny jelek.,2
Alodokter,Terima kasih atas bantuan,5
Halodoc,3 kali transaksi karena gagal di layani dokter padahal sudah transfer akhirnya suruh nunggu 3 hari untuk pengembalian. Sampai sekarang tidak ada juga.,2
Halodoc,Terbantu sekali,4
Halodoc,Ribet banget daftar akun aja lewat SMS gak bisa bisa...knp gak wa aja sih biar gmpng masukin kode.a,2
Alodokter,Respon yg sangat baik🥰,4
Halodoc,Sangat membantu,2
Alodokter,Terimakasih sangat membantu,4
Halodoc,"Mau transaksi pake dompet halodoc tapi malah gabisa katanya lgi gangguan terus, mana saldonya gabisa ditarik lagi, sorry ya bintang 2 dulu tolong segera diperbaharui",2
Halodoc,"Saldo sudah terpotong tetapi gagal terhubung dg dokter, hubungi cs butuh 60 menit untuk pengembalian dana. Sangat mengecewakan",1
Halodoc,"Kok tidak bisa buka ,bolak balik tidak bisa juga gimana sih 😔",2
Alodokter,"Saya chat dokter di app ini dan diberi resep, tapi saat saya perbedaan total pesanan dengan total pesanan yang ditampilkan di app ini. Kemudian, ongkirnya juga berbeda dengan hitungan saya.",2
Alodokter,"Pengiriman lambat, saya tunggu sampe 5 hari gk datang-datang. Sampe demam panas dingin, saya berobat kakak bukan foya-foya :'). Obatnya masih belum sampe sampai chat ini ditulis, terima kasih.",1
Alodokter,hanya konsultasi bayar lewat e-walet,5
Halodoc,"respon dokternya sangat baik, aplikasinya sangat berguna. terima kasih halodoc",4
Halodoc,Mahal aing cuma nanya doang,1
Halodoc,"Kecewa pake aplikasi ini. Seharusnya mempermudah penggunanya, ini malah mempersulit. Saya daftar SWAB PCR, mau ngecek hasil testnya. Sedangkan kita harus menunggu menerima notif sms. Udah 3 hr kerja, tp blm ada notif smsnya. Terpaksa nanya ke RS deh perihal hasil test.",2
Alodokter,"Waktu awal2 enjoy banget Konsul di aplikasi ini dokternya ramah cepat respon, tapi makin ke sini ko lambat banget responnya yah... Jd dlm beberapa menit Konsul cuma bbrpa pertanyaan, gak tau tergantung dokter nya atau aplikasi nya... Banyak saingan malah pelayanan nya turun",3
Halodoc,"Pesan obat instan,tapi obatnya datang entah kapan.. 🤕",1
Alodokter,"Assalamualaikum selamat malam pak dokter, saya mau tanya nih, kenapa saya setiap berhubungan dengan suami saya,air maninya beraroma amis seperti putih telur, tolong di respon ya dok..",3
Halodoc,Respon sangat baik sekali dan jelas,4
Halodoc,"Aplikasi nya jelek, saya mau konsul ke dr. Urologi. Pas saya bayar dokter nya masih online, setelah saya bayar dan mau masuk ke room konsultasinya gak bisa. Beberapa menit kemudian baru bisa masuk, tpi sesi konsultasi sudah diakhiri. Dan dokternya langsung offline Saya sudah buat laporan beberapa hari yg lalu tpi sampe skrg tidak ada penyelesaian, adminnya bertele tele Setelah saya liat ulasan disini ternyta banyak mengalami hal yg sama. aplikasi pemberi layanan kesehatan kok jdi penipuan",1
Alodokter,"Aplikasi ini bagus kok, cuman keamanannya kurang. Jd td saya ditelfon sm pihak alodokter yg katanya mau ngasih saya santunan buat DBD selama setahun, konsul sm dokter2 gratis, ambil obat di apotek gratis lah tp saya g lgsg percaya aja.. dia tau nama saya, alamat email jg, trs dia mo minta no rek sy, tanya alamat, sm minta tanggal lahir saya, pas saya kekeh gamau ngasih rek dia langsung matiin telpon. Ini gatau apa, menurut saya sih penipuan yg mengatasnamakan alodokter",2
Alodokter,"Aplikasi padahal nggak pernah dipakai tapi tetap kesedot juga 39.000 tanpa memberitahuan pula. aplikasinya udah dihapus padahal, kecewa banget sama alodokter",2
Halodoc,praktis dan sangat membantu,5
Alodokter,"Thank You alodokter, I like alodokter sakit sayang bisa sembuh",5
Alodokter,Good job,4
Halodoc,Baru minta chat ga d bls sm dokternya eh saldo tetap di kurang in.. Dodol. Emang,3
Halodoc,"Ini tolong dikondisikan, posisi saya di medan sumut, tapi RS rekomendasinya Di Jakarta, sudah saya refresh dan keluar masuk apl tetap saja sama, mau liat rs di medan jd gabisa buat janji temu offline",3
Alodokter,Nati sya kasilgi,2
Alodokter,"Gilak ! Mahal banget hanya untuk chat. Ini sih gak membantu yaa, ke dokter kisara harga chat sudah dapat obat loh..",3
Halodoc,"sangat sangat membantu, di kasih resep obat juga bila diperlukan bisa pilih dokter sesuai bugdet dan saya dpt dokter yg bener² bkin puas sudah 4x konsul dengan dokter dan masalah yg berbeda hanya saja harus siap pertanyaan harus cepat ngetik karna waktunya cuma 30 menit",5
Halodoc,Hebat dan Tepat,5
Alodokter,Diubah dulu,4
Alodokter,terimakasih respon dokter sangat cepat,5
Alodokter,Ramah dokternya guys fast respon,4
Halodoc,Cukup membantu terimakasih,4
Halodoc,Cmn iseng aja,2
Alodokter,"Better instal app tetangga aja sih daripada nggak bener gini, Masa proses refund hampir 2 minggu padahal yg batalin pihak apotek. Saran aja ya kalau memang ketersediaan obat di apotek terkait lagi kosong ya jgn di rekomendasiin ke apotek itu, ujung""nya nanti apoteknya ngebatalin gitu aja padahal uang udah di transfer, giliran minta refund di ribet"", kan kasihan yg bener"" sakit dan segera butuh penanganan obat.",1
Halodoc,barang tidak sesuai gambar ( Hansaplast Plester 1 Pieces ),1
Halodoc,Cukup membantu kenapa fitur untuk memasukan alamat sendiri tidak bisa hanya bisa di tentukan oleh apk nya padahal supaya tidak menjadi trouble saat pengiriman barang nya,4
Halodoc,Lumayan,4
Alodokter,Dibutuhkan apk kenapa dikeluartrus ka.,3
Halodoc,Gak bisa connect...... Melihat dlm keranjang tidak bisa dibuka.,3
Halodoc,aplikasi gaguna pesan obat instan datang nya lama. tidak bisa ditrack lagi. dan pas sampai kata kurir nya gabisa menghubungi cust karena nomor cust nya tidak ada. padahal jelas jelas saya mengisi no telepon saya agar bisa dikebari sesegera mungkin. aplikasi anehh padahal lagi urgentt !!!! 🤬😡,1
Alodokter,2 dlu br coba,2
Alodokter,"Tolong dong ada yang nelfon bilang dari alodoc, tawarkan unlimited chat. 1 hal yang penting ya, tanyakan dulu sibuk atau enggak orang yang mau di hubungi",2
Alodokter,Bisa membantu,4
Alodokter,"sangat jelas, terimakasih sangat membantu.",4
Alodokter,alodokter sangat membantu,5
Halodoc,"Sangat membantu,respon cepat.",4
Alodokter,Okelah,4
Halodoc,Calim obat gak tercover semua.,1
Halodoc,Sangat membantu. Untuk pertolongan pertama cukup dari rumah. Konsultasi mudah dan gampang,5
Halodoc,Trima ksih dengn adany halodoc sngat mmbntu sya untk brfkir positif,4
Halodoc,konsultasinya sangat bermanfaat,5
Halodoc,konsultasi dengan dokter jadi lebih enak,5
Halodoc,Dokternya ramah dan sangat membantu,5
Halodoc,"Pesan 4x semua dibatalkan, ga waras nih aplikasi",1
Alodokter,Respon bales chat mohon ditingkatkan,3
Alodokter,"ramah, cepat memberikan jawaban 🙏",5
Halodoc,Ongkos pengiriman terlalu mahal,3
Halodoc,"Saya kurang puas dgn apk ini, dokternya lama balasnya.",2
Alodokter,"saya mau konsultasi dan sudah melakukan pembayaran tapi aplikasinya nutup sendiri udh coba di uninstall tapi masih sama aja, buang-buang uang jadinya.",2
Alodokter,"Maaf sebelumnya, apk Alodok sebelum di update cepet banget munculnya tapi pas sesudah di update loading nya lama sekali mau masuk apk lama padahal jaringan stabil mohon di perbarui lagi",4
Alodokter,Akeh ngebug e,3
Halodoc,Selalu pas dan cocok dgn obatnya,4
Halodoc,Sangat Bermanfaat,4
Alodokter,Respon dokter lama. Kebanyakan pertanyaan nya template. Ga real seperti konsultasi dokter dan pasien. Pertanyaan sdh dijawab ketika membalas nya lama. Not recomended. Untungnya pake AdMedika. Kalo pembayaran pribadi pasti sangat merugikan,1
Alodokter,mengatasi kecemasan ku berapa hari ini 🤧,5
Alodokter,respon bagus lho,5
Alodokter,Saya puas dengan jawaban dr dokter.. tp yg di sayangkan chat gratis hanya saat pertama kali konsultasi. Setelah itu hrs byr,4
Alodokter,kenapa loading pertama login lambat sekali pdhal jaringan data seluler bagus,3
Alodokter,memuaskan,5
Halodoc,good,4
Alodokter,Membantu untuk berkomunikasi bersama dokter,4
Alodokter,"kacau kacau, kerasa bgt istri habis operasi sesar jaitan nya sakit mau Konsul ke dokter, eh udah bayar dan diterima tpi si dokter nya chat slow respone bgt Ampe masa chat 30menit berakhir, berasa sia sia bgt uang buat makan dipake alodok begini, shittt",1
Alodokter,Sangat membantu. Terima kasih dok.,4
Alodokter,"Download aplikasi lain aja, cukup kecewa.",1
Alodokter,"dari sekian bnyak pertanyaan yg di jawab cuma 1, harus berulang2 tanya, tidak detail mnjelaskan, seperti mlas balas chat",4
Alodokter,Lambat responya,3
Alodokter,"Ya ampun 😂 terngakak saya loh.. saya menolak aktifasi unlimited karna sering uninstal-instal aplikasi (hanya download aplikasi jika perlu) dan CS langsung tutup telpon dengan kasar, hanya bilang, ""oke"" 😂 seriuskah itu CS alodokter????",2
Alodokter,"KIRAIN GRATIS TERNYATA BERBAYAR,BIAYA KONSUL NYA ADA TAPI GA MASALAH JUGA SEPERTI NYA DI LIAT"" KOMENTAR NYA BAGUS DARI RESPON DOKTERNYA PUN BAGUS",4
Halodoc,"Konsul disini untuk psikoatri, Ujung nya cuma disuruh ke dokter secar offline. Padahal di artikel dia 'penanganan yg tepat bisa download' halah udah ga kepake. Udh cocoknya di aplikasi buat sakit umum aja, ga usah ada spesialis",2
Halodoc,Lega sekali,4
Alodokter,"sudah bayar mahal²ternyata waktu konsultasi hanya sebentar sekali dan jawaban tidak sesuai,padahal keadaan sangat mendesak sgt mengecewakan",1
Alodokter,"Apk ini baik dan membantu kesehatan dan juga keseharian, lingkungan hidup yang sehat",5
Alodokter,good,5
Halodoc,Cukup membantu aplikasinya..,4
Alodokter,"macam mana ini apk di buatnya menyusahkan sekali. udh isi otp bukan langsung ke perintah selanjutnya malah kirim ulaaaaaang otp. ngapain kirim2 ulang otp , lu mau di donload apa kaga. kaga kelar2 ini urusan 1jam lebih sama otp doang.",1
Halodoc,Ausah sekali Loading nya. Muter muter terus. Padahal mau tes kesehatan di aplkasi ini. Lalu bagaimana? Tolong di perbaiki. Dan di beri fiture chat cs agar masalah cepat teratasi.,3
Alodokter,Bermanfadd buat kita semuwa,1
Halodoc,"Sangat membantu, trimakasih hallodoc.",5
Alodokter,"dokternya baik ramah, & penjelasannya cukup jelas",5
Halodoc,Kok pilihan pengiriman nya cuma reguler tidak ada yang instan?,3
Halodoc,Sangat bermanfaat.. Gk perlu antri di klinik,4
Halodoc,sangat membantu,5
Halodoc,"Kalau bisa untuk sesi nya ditambahkan 45 mnt atau lebih mungkin. Karena kami sebagai pengguna merasa di rugikan jikalau sesi berakhir dan blum sempat menanyakan lebih terkait gejala""nya, mungkin bisa diambil contoh aplikasi sebelah Alodokter. Sesi berakhir lalu disuruh Konsul lanjutan dengan dokternya terus di suruh bayar lagi?, Tolong lah buat sesi 30 menit ini di tambahkan atau ngga belajar dari aplikasi sebelah. Di kritik untuk paling banyak masalah ini harusnya paham sih🙏🏻",1
Halodoc,Obat di halodoc byk tdk tersedia,2
Alodokter,pelayanan terbaik,5
Halodoc,cepat,5
Alodokter,Tks...atas penjelasannya... Memang betul byk pikiran..jadi cepat sekali ..sakit perut,3
Halodoc,Ada beberapa obat yang halo doc tidak menyediakan,1
Halodoc,maaf sebelumnya untuk obat misal depresi gangguan pikiran ada ya dokter,1
Halodoc,"Aplikasi error, gak bisa merespon. Macet pokoknya",2
Alodokter,Admin tolong dijawab sebenarnya data kita dilindungi tidak sih kenapa banyak yang di telpon dan mengatasnamakan alodokter + kasih tawaran2. Tolong dong data kita no. Hp nama alamat email di proteksi oleh tim alodokter. Trims,3
Alodokter,Sangat membantu .. Terimakasih..!,3
Alodokter,Sangat membantu sih. Saya masih awal menggunakan apk ini jadi hanya ini yang bisa saya katakan,3
Halodoc,Dokter nya 👍,4
Halodoc,Pelayanan nya saya sanggat puas..kerena saya melalui drive thru...,3
Halodoc,sdh pilih profil yg sesuai tahunya pas chat dgn dokter berbeda,2
Halodoc,"Pengiriman obat terlalu lama, keburu mati saya min 👎👎",1
Alodokter,Sering bgt udah bayar dokter nya gk bales chat asli bkin rugi doang mana lg butuh bgt Pdhl keterangan dokter nya online Dah lah yg mw download pikir2 lg bye gw uninstall,1
Halodoc,dikira beli obat kaya k24 instan.. tau nyaa ky shopee.. 4hri pngiriman......ih auto delet,1
Halodoc,Errorrrrrrrrr,1
Alodokter,bagus,5
Halodoc,Sangat membantu. Terimakasih,3
Halodoc,"umur saya 16 tahun saya gak punya uang terus saya mau konsultasi dengan dokter, ternyata konsultasi nya di bayar gimana solosi untuk pertanyaan saya it .. tolong di jawab!!!!!",3
Halodoc,sangat membantu,5
Alodokter,"Konsultasi apaan gak guna.. ujung""nya tetep aja di suruh ke dokter rumah sakit... harusnya lebih ngedepanin untuk ikhtiar berobat di rumah dong saranin obat apa ke yg alami atau makan minum apa ke yg bisa nyembuhin.. bukan di suruh ke dokter Mulu.. namanya juga bukan ngirit kaleee.. apalagi di zaman pandemi ini males ke dokter.. please para dokter tolong perbaiki jangan sedikit"" nyuruh ke dokter yg asli.. apa gunanya coba aplikasi ini? Coba jelaskn.. mungkin saya terlalu berharap banyak maaf",2
Alodokter,terimakasih atas pertolongan dokter sangat membantu,5
Alodokter,Kenapa sekarang chat jadi berbayar..,3
Alodokter,Sementara saya ksh bintng 3 krn saya bru mulai gabung,3
Alodokter,"ribet amat mau daftar, pake akun fb ndak bisa, pake akun Google malah minta nomer HP. gk salah emang kalau dijaman akhir harus serba materi bukan lagi soal manusiawi.",1
Alodokter,Kenapa appsnya gabisa dibuka?,3
Halodoc,Click l j 276,3
Alodokter,Halo dok. 10 tahun lebih kami sakit tb berdahak. Sdh 2x kami minum obat paket tapi tak kunjung sembuh. Tenggorokan gatal dan keluar cairan bening di hidung terus. Obat herbal apa yang bisa kami beli untuk sembuh. Demikian dok.,1
Alodokter,"Tanya z harus lngganan bayar ' mending trus membantu ujung""nya sruh kedokter sama z ngomong bertanya sma tembok bukanya memvantu mlah menyekek biaya bertnya saja .dlu gk skrg kya Rentenir z serba duit",1
Alodokter,baik,3
Alodokter,"Cara biar keluar dr daftar anggota dan biar jngan di hubungi oleh pihak Alo dokter dgn penawaran macam"" ,gmna ya ? Ini sangat mengganggu sekali",2
Halodoc,"Aplikasi jelek bgt 😢 udah bayar, baru mau chat sm dokter ga bisa. Tb2 percakapan selesai blm juga konsultasi. Hilang uang sia sia mending ke sebelah deh metode pembayaran lebih gampang ini mah harus top up dulu ribet bintang ⭐ maaf. Diperbaiki lagi ya",2
Halodoc,Dokter nya sangat ramah Dan sangan membantu,4
Alodokter,Merasa sangat dobantu dngan keadaan saat ini,4
Halodoc,mantap,5
Alodokter,Apk y jelek saya ga suka sama pelayanan cs y ! Ga profesional,1
Alodokter,penjelasan dokternya detail bangettt dan jelas,5
Alodokter,belum bisa menyelesaikan masalah saya,3
Alodokter,Kenapa aplikasinya tidak bisa dibuka sejak semalam? Padahal udah diupdate,4
Alodokter,"Masih ragu"" apakah aplikasi ini menyimpan semua rahasia pribadi kita?",2
Halodoc,Sdh sakit trs TDK bs co obat padahal sdh konsultasi,1
Alodokter,Bikin orang parno aja,1
Alodokter,Di usahakan pertanyaan di bolehkan lebih dari satu,3
Alodokter,"Sales penipuan, katanya gk akan di potong kalau kita gak pake aplikasi nya.. padahal niatnya nolongin dia harus ada member baruu..eh ternyata malah di potong, padahal gk pake konsultasi sama sekali.. ada yg tau cara berhenti gimana gak? soalnya debit otomatis keterangannya.",3
Alodokter,Pertama emang gratis tapi lama kelamaan g gratis,2
Alodokter,Bagus,3
Alodokter,trimakasi,5
Alodokter,Mungkin Bisa Lebih Murah Lagi,4
Halodoc,Dokternya slow respon dan pertanyannya di jawabnya Umum Skali kaya nanya obat vitamin di suruhnya berobat ke rumah sakit yaa EMG konsultasi kok jawabnya kaya gitu ya nggak usah tanya jenis obat kalo disuruh ke rumah sakit buat ke ahlinya mah,1
Alodokter,"Halo Alodokter,saya di tlp kantor pusat ditawari berlangganan,ketika akhirnya saya tolak dan lbh nyaman dgn transaksi biasa,di akhir terasa tidak nyaman berbicaranya. Masukan utk alodokter",2
Alodokter,MANTAB,4
Alodokter,Bagus,4
Alodokter,penjelasan puas,5
Halodoc,Kurangnya hanya ketersediaan obat yang tidak semua resep yang kita dapat dari dokter tersedia.. sehingga ttp saja kita harus cari2 ke apotek terdekat.. saran saya sediakan apotek khusus dari halo doc yang obatnya bisa ready semua.. tidak masalah untuk pengiriman bukan yg 30 menit sampe pun jg..sehingga pelanggan tidak perlu cari2 obat yg tidak tersedia,2
Alodokter,bagus banget. cuma u/ aplikasinya jika ada notif tidak muncul di layar tarik.,4
Alodokter,cool,5
Alodokter,Gak cocok buat kalangan bawah Iyah aja kalau ada mode gratis tapi di batasi perhari Berbayar semua mending ke puskesmas aja langsung dri pada tanya dokter umum tapi bayar,1
Alodokter,Terima kasih atas penjelasannya dokter Irfan. Semoga Dokter sehat selalu,5
Alodokter,terimakasih ngebantu bnget,5
Alodokter,Obatnya apa saja yg hrs diminum kl positif ? Mengapa saya kmrin bertanya ke layanan halo dok g ada jawaban menanyakan adakah obat gratis ? Sdh setengah bln saya isoman .,2
Alodokter,Baik,5
Alodokter,"Pelayanan aplikasi perlu diperbaiki lagi, udh bayar udah chat dokter tapi dokter ga ngerespon malah percakapan ditutup... Eh uang ga kembali...perbaikin lagi deh sistemnyai",2
Halodoc,"Tadi saya 2 kali mencari dokter, tidak tersedia, biaya yang pertama sudah di refund karena dibatalkan, tetapi yang kedua transaksi berhasil padahal tidak tersambung dengan dokter nya, pembayaran juga belum di refund !",2
Halodoc,paket obat sy belum d terima sama sekali,1
Alodokter,Cuma mau nanya..kenapa ya pengajuan claim saya dari bulan October sampe saat ini blm d cairkan padahal di aplikasinya Sudah d setujui dari 4 bulan yg lalu.,2
Halodoc,"Chat dokter respon nya lama, jawaban dokter nya ada semua di google jadi rugi",1
Halodoc,"Kebanyakan dokternya buru"". Penjelasannya kurang jelas, jadi harus searching di gugel lagi. Tingkatkan lagi pelayanan dokternya.",2
Alodokter,"Semoga aplikasi ini makin maju dan sukses sehingga mmpu membayar para dokter yg ada di aplikasi ini, jadi pengguna aplikasi ini bisa update tiap hari dan bertanya tanpa takut di kenai biaya. Ayo netizen indonesia dukung aplikasi dan satu suara dgn pendapat saya. Terima kasih",4
Halodoc,Email saya dan chat sy blm d respon.tolong 20k saya itu kenapa ke debet tanpa ada konsultasi?. Saya ganti bintang 3 sambil nunggu respon refund nya,3
Halodoc,Lebih ke saran dan anjuran,2
Halodoc,Utk saat ni lumayan,4
Halodoc,Apk in sangat tidak berguna. Lagi darurat mau tanya dokter. Sudah pembayaran buat chat dokternya juga malah ketrangan dokternya sibuk. Uangnya udah ke tarik lagi.,1
Alodokter,Respon dokter sangai baik dan cepat,4
Alodokter,lebih suka aplikasi sebelah,1
Alodokter,"Sayang ny semua nya berbayar, coba klo ad yang gratis tambah baik tambah bagus",1
Alodokter,sangat membantu,5
Halodoc,lebih mudah dan sangat membantu,4
Alodokter,"Dokter sangat sangat membantu dan buat tenang , cuma pengiriman obat tidak bisa urgent pesen skrg dikirim bisa besok malam saya sudah 2 kali begitu jadi malah keluar dobel uang , krna di alodokter lama akhirnya Nebus sendiri diapotik lain , uang yg sudah masuk tidak bisa dikembalikan, sangat sangat buat kesal semoga bisa diperbaiki dalam hal pengiriman obat",3
Halodoc,"Kenapa ya aplikasinya suka eror sampe ga bs masuk pdhl saya udah refresh berkali"" mohon diperbaiki pdhl kegunaannya bagus",3
Halodoc,Kenapa sy chat dokter ny eror mlu ya..pdhal pmbyaran berhasil,2
Alodokter,Sangat membantu sekali,3
Alodokter,Aplikasi apa ini ketika saya ingin bertanya pada dokter harus pesan obat atau membayar tapi seharusnya bertanya dulu apakah penyakit nya eh Malah harus pesan obat atau membayar Ya cuman ituya saya kasi bintang 1 terimahkasih,1
Halodoc,Belum dapat kode daftar vaksin,2
Alodokter,Chat nya k dokter hanya bisa jawab ya atau tidak.. Tidak bisa melakukan penjelasan lagi.. Dan begitu kalau salah ketik ya atau tidak ngak bisa diperbaiki lagi.. Gmn,2
Alodokter,buatlah gratis dua atau tiga dokter.. gratis dengan pertanyaan2 simple yg mudah di jawab ko berbayar semua payah,3
Alodokter,Saya sama sekali tidak mengikuti program pembayaran setiap bulan sekali ATM saya dipotong setiap bulan saya kecewa dengan aplikasi ini sebenarnya jangan kan bintang 1 tidak ada bintang sama sekali untuk aplikasi ini mohon dikembalikan dana saya setiap bulan karena saya kecewa dan amat sangat dirugikan,1
Alodokter,"Aplikasinya gak jelas, udh bayar 8500 pake shopepay tapi gak bisa chat dokter umumnya. Ditambah malah balik untuk bayar lagi. Intinya aplikasi nya gak bagus dan jelek yg skrng jgn ada yg download gaes!!!!! Nanti nyesel klo udh bayar tp gak bisa digunain. Udh kepotong iyaa , dipake kaga !!!",1
Alodokter,"udah bayar ,saldo udah kepotong masa di app tulisannya pembayaran gagal dan saldonya hangus gitu aja chat CS juga nggak jelas,bilangnya proses tapi nggak kelar2 padahal buktinya udah di kirimin semua",1
Halodoc,Enak kordinasinya betul2 sangat bermanfaat terima kasig halodoc....,2
Alodokter,sngt membantu,2
Halodoc,good job,5
Alodokter,sangat membantu,5
Halodoc,Suka sih dengan penjelasan nya tapi kenapa sih mesti bayar padahal kan cmn chat doang,2
Alodokter,"Di suruh kirim foto, udah di kirim, tapi tidak di kasi tau salep apa yg harus saya beli 😓",4
Alodokter,dokter ny ramah cpt menjawab ny sehat selalu dok,5
Alodokter,"Order konsul jam 12 malam dibalas hampir jam 5 pagi. Alasan admin traffic tinggi, lah gaperduli mau traffic tinggi atau gimana Ya itu urusan sistem lu pada yg harus diperbaiki Kalo memang 1 dokter keteteran ya bagi ke dr lain Sistem harus tegas, harus ada batas maksimal waktu menunggu! ya masa nunggu konsul sampe hampir 5 jam???? Ga ada kepastian durasi nunggu, dan berujung tidak ada sesi konsul dan mau ga mau refund dan masih ribet lagi ngisi data 🗿",1
Alodokter,respon cepat dan jelas,5
Halodoc,Ko sekarang bayar ya chat sama dokter. Dulu gratis.,3
Alodokter,"Sangat kecewa sama aplikasi ini pada hari ini. Padahal masih dalam chat berbayar, tapi ditungguin balasan demi balasan sampai 30 menit ga ada juga. Akhirnya ke tutup sendiri chat itu. Yang bener aje! Rugi dong!!",1
Alodokter,Dapat resep obat dri dokter nya dan harus diminum besok eh estimasi nya kurang lebih seminggu lagi.. pilihan apotek yg terdekat tapi nyatanya dari jambi ke padang... harusnya obat yg harus diminum cepat jangan lewat apotik yg jauh.. bila tidak ada di kota saya .. percuma aja obat datang tapi gak bisa juga diminum .. mana harga lumayan,1
Halodoc,"Ko saya download ni aplikasi terus masuk koh engga bisa, apa ada gangguan. Dah masukin nomor dan pengiriman kode OTP gagal",3
Alodokter,Log out sendiri terus minta update,2
Halodoc,Terimakasih sudah membantu,5
Halodoc,Di perbaiki saya susah cari dokter atas nama nya,1
Halodoc,Aplikasinya tidak responsif. Lemot,1
Alodokter,"Doktrrny blg bakal kasi resep lwt WA dan email, tp g gk terima ampe skrg. Gmn y ini, pdhl hrsny gk sampe seharian dh?",2
Alodokter,"Bagaimana bisa nomor yg terdaftar di aplikasi ini dipakai untuk menipu mengatasnamakan alodokter, bikin resah aja",2
Halodoc,Maksih,3
Alodokter,"Oke, sangat membantu",4
Alodokter,memuaskan pelayanan bagus,5
Halodoc,Sementara ini cukup puas!!!!,4
